	CCMD34381688ST-21-0_erectale.tsv	G78505_erectale.tsv	G88884_erectale.tsv	G88970_erectale.tsv	G89027_erectale.tsv	H2M514903_erectale.tsv	HD-1_erectale.tsv	T2D-063_erectale.tsv	T2D-105_erectale.tsv
UniRef90_A0A0M6WCC7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCD6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCD8	1	0	0	0	0	0	1	1	1
UniRef90_A0A0M6WCI4	1	0	1	1	1	1	1	0	1
UniRef90_A0A0M6WCI9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCJ4	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WCJ8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCL3	0	0	1	0	0	0	1	0	0
UniRef90_A0A0M6WCN8	1	0	1	1	1	1	1	1	1
UniRef90_A0A0M6WCQ7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCR6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCT9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCV3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCW1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCW4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCX0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCY0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WCZ2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD10	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD45	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD47	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WD53	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDA4	1	1	0	0	0	0	1	1	1
UniRef90_A0A0M6WDC4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDD3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDD4	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WDE9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDJ5	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WDK4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDM4	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDR3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDT6	1	1	1	1	1	1	1	0	1
UniRef90_A0A0M6WDY0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WDY1	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WDZ8	1	0	1	1	1	0	0	1	0
UniRef90_A0A0M6WE06	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WE34	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WE74	1	0	0	0	0	0	0	0	1
UniRef90_A0A0M6WEB0	0	1	0	0	1	0	0	0	0
UniRef90_A0A0M6WEC0	1	1	1	1	1	0	1	0	0
UniRef90_A0A0M6WEC8	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WEE6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEG1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEG7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEI9	0	1	0	0	1	0	0	0	0
UniRef90_A0A0M6WES9	1	0	1	0	1	0	0	0	1
UniRef90_A0A0M6WET6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WEV8	0	0	1	0	1	1	0	1	1
UniRef90_A0A0M6WF16	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WF21	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WF30	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WF50	0	0	0	0	0	1	1	0	0
UniRef90_A0A0M6WF68	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WF75	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WF98	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WF99	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFA6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFB1	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WFD1	0	0	1	1	0	0	1	0	1
UniRef90_A0A0M6WFG7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFK9	1	1	0	1	1	0	1	1	1
UniRef90_A0A0M6WFL2	1	1	0	1	0	0	1	1	1
UniRef90_A0A0M6WFM3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFN5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFR2	0	1	0	0	1	0	0	0	1
UniRef90_A0A0M6WFR9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFS4	1	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WFS7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WFT0	0	0	0	0	0	0	1	0	0
UniRef90_A0A0M6WFW9	0	1	1	1	1	0	1	1	1
UniRef90_A0A0M6WFX7	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WFY7	0	0	1	0	1	0	1	1	1
UniRef90_A0A0M6WFZ6	0	1	0	1	1	1	1	1	0
UniRef90_A0A0M6WG56	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WG63	0	0	1	0	0	0	0	0	1
UniRef90_A0A0M6WG84	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WG91	0	1	0	1	1	1	1	1	0
UniRef90_A0A0M6WGA0	0	1	0	1	1	0	1	1	0
UniRef90_A0A0M6WGB7	1	1	0	0	1	0	1	1	1
UniRef90_A0A0M6WGG7	0	1	0	1	1	1	1	0	1
UniRef90_A0A0M6WGI5	1	0	1	1	1	1	1	0	1
UniRef90_A0A0M6WGJ0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WGS2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WGX7	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WH23	0	0	0	1	0	1	1	0	0
UniRef90_A0A0M6WH69	0	0	1	0	0	1	0	0	0
UniRef90_A0A0M6WH97	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHB5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHB6	0	0	0	0	0	0	0	0	1
UniRef90_A0A0M6WHG5	1	1	1	1	1	1	0	1	1
UniRef90_A0A0M6WHG8	1	0	0	0	0	0	0	0	0
UniRef90_A0A0M6WHK6	1	0	1	0	0	1	0	0	1
UniRef90_A0A0M6WHP1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHP5	0	1	1	1	1	0	1	0	1
UniRef90_A0A0M6WHP6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHS8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHT0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WHU6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WI10	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WI61	1	1	0	1	1	1	1	1	1
UniRef90_A0A0M6WI72	0	0	1	1	0	1	1	0	0
UniRef90_A0A0M6WIB5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIE9	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WIG4	0	0	1	0	1	1	1	0	1
UniRef90_A0A0M6WIJ6	0	0	0	0	0	0	1	0	1
UniRef90_A0A0M6WIK9	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WIS1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIT8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIU2	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIW0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIW5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIX1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIZ1	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WIZ6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJ08	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJ24	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJ93	0	0	1	0	0	0	0	0	0
UniRef90_A0A0M6WJ95	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJ99	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJD9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJE0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJF4	1	1	1	1	1	1	0	1	1
UniRef90_A0A0M6WJF6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJH2	0	1	0	1	0	0	0	0	0
UniRef90_A0A0M6WJI0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJI5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJL6	1	0	1	0	1	0	0	0	0
UniRef90_A0A0M6WJN9	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJP8	1	0	1	1	1	1	1	0	0
UniRef90_A0A0M6WJQ6	1	0	1	0	1	0	0	0	0
UniRef90_A0A0M6WJS0	0	0	0	1	0	0	0	0	0
UniRef90_A0A0M6WJS7	0	0	0	1	0	1	1	1	0
UniRef90_A0A0M6WJT3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJT6	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6WJV5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJX3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WJY0	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WK05	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WK29	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WK68	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6WK76	0	0	1	0	0	0	0	1	0
