	CCMD34381688ST-21-0_erectale.tsv	G78505_erectale.tsv	G88884_erectale.tsv	G88970_erectale.tsv	G89027_erectale.tsv	H2M514903_erectale.tsv	HD-1_erectale.tsv	T2D-063_erectale.tsv	T2D-105_erectale.tsv
UniRef90_A0A174G9S4	1	1	0	1	1	0	0	0	1
UniRef90_A0A174G9X7	0	1	0	0	0	0	1	0	0
UniRef90_A0A174GA04	1	0	0	0	1	0	0	1	0
UniRef90_A0A174GA05	0	0	1	1	1	0	0	0	1
UniRef90_A0A174GAA7	0	1	1	0	0	0	1	0	0
UniRef90_A0A174GAF8	0	1	1	1	1	1	1	0	1
UniRef90_A0A174GAK5	0	1	0	0	0	1	1	1	0
UniRef90_A0A174GBS2	1	0	1	0	0	0	0	1	0
UniRef90_A0A174GBV6	1	1	1	0	1	1	1	1	1
UniRef90_A0A174GCK9	0	1	1	1	1	1	1	0	1
UniRef90_A0A174GCV1	0	0	0	0	0	0	0	1	0
UniRef90_A0A174GD25	0	0	0	1	1	1	1	1	0
UniRef90_A0A174GED8	0	0	0	1	0	0	0	0	0
UniRef90_A0A174GEJ5	1	1	0	1	1	1	1	1	1
UniRef90_A0A174GGF7	1	0	0	0	0	0	0	0	0
UniRef90_A0A174GGT7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GH88	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GI00	0	1	1	1	1	1	1	1	0
UniRef90_A0A174GJB4	0	0	0	0	1	1	0	1	0
UniRef90_A0A174GJX6	0	0	0	1	0	0	0	0	0
UniRef90_A0A174GKB3	1	1	0	1	1	1	1	1	1
UniRef90_A0A174GKI0	0	1	0	1	1	1	1	1	0
UniRef90_A0A174GL79	0	1	1	1	1	1	1	1	1
UniRef90_A0A174GLD0	0	0	1	1	1	0	1	0	0
UniRef90_A0A174GLX1	1	1	0	1	1	0	1	0	0
UniRef90_A0A174GMZ4	1	1	0	1	0	0	1	1	1
UniRef90_A0A174GN59	1	1	1	1	1	1	1	0	1
UniRef90_A0A174GNW0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GP69	0	0	1	1	0	0	0	0	0
UniRef90_A0A174GP93	0	0	1	0	0	0	0	0	0
UniRef90_A0A174GPC5	0	0	1	1	1	0	1	1	0
UniRef90_A0A174GPM4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GPR0	1	1	1	0	1	0	1	1	1
UniRef90_A0A174GPZ6	0	0	1	1	0	0	1	0	0
UniRef90_A0A174GQS7	1	1	1	1	1	1	1	0	0
UniRef90_A0A174GRD0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GRP8	0	1	1	1	1	0	0	0	0
UniRef90_A0A174GRU0	0	0	0	1	0	0	0	0	0
UniRef90_A0A174GRU3	0	0	1	0	0	0	0	0	0
UniRef90_A0A174GRV0	0	0	1	0	0	0	0	0	0
UniRef90_A0A174GS18	0	0	1	0	0	0	0	1	0
UniRef90_A0A174GTG5	0	0	0	0	1	0	0	1	0
UniRef90_A0A174GTW6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GTX7	0	0	1	0	0	0	0	0	1
UniRef90_A0A174GUH5	0	0	0	0	0	0	0	0	1
UniRef90_A0A174GVH8	1	1	1	1	1	0	1	1	0
UniRef90_A0A174GWM5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GWS3	0	0	1	0	0	1	1	0	0
UniRef90_A0A174GXF2	0	0	1	0	0	1	1	0	1
UniRef90_A0A174GXR6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GYE4	0	0	1	1	0	0	0	0	0
UniRef90_A0A174GYJ1	1	1	1	1	1	1	1	1	1
UniRef90_A0A174GYS8	0	0	0	1	0	0	0	0	0
UniRef90_A0A174GZ16	1	1	1	1	1	1	1	0	1
UniRef90_A0A174GZ53	0	0	0	0	0	0	1	0	0
UniRef90_A0A174GZH1	0	0	1	1	0	1	0	0	0
UniRef90_A0A174GZM3	0	1	1	0	1	1	1	1	1
UniRef90_A0A174GZT1	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H090	1	0	0	0	1	0	0	0	1
UniRef90_A0A174H0V0	0	0	0	0	0	0	1	0	1
UniRef90_A0A174H142	1	1	1	1	1	1	1	1	1
UniRef90_A0A174H150	0	1	0	1	0	0	1	0	0
UniRef90_A0A174H2H6	0	1	1	0	0	0	1	0	1
UniRef90_A0A174H2X2	0	0	0	1	0	0	0	0	1
UniRef90_A0A174H2Y7	0	0	1	1	0	0	0	0	0
UniRef90_A0A174H300	0	1	0	0	0	0	0	1	0
UniRef90_A0A174H382	0	0	1	1	0	0	0	0	0
UniRef90_A0A174H3P3	0	0	0	0	0	1	0	0	0
UniRef90_A0A174H491	0	0	0	1	0	0	0	0	0
UniRef90_A0A174H597	0	0	1	0	0	0	0	0	0
UniRef90_A0A174H5L7	0	1	0	0	0	0	0	0	0
UniRef90_A0A174H5X2	0	1	1	1	1	1	1	0	0
UniRef90_A0A174H642	1	1	1	1	1	1	1	1	1
UniRef90_A0A174H763	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H7A4	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H7F9	1	1	0	0	0	0	0	0	0
UniRef90_A0A174H7J9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H7P7	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H7W1	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H834	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H8H7	0	0	1	1	1	0	1	0	0
UniRef90_A0A174H8N9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H981	1	1	1	1	1	1	1	1	1
UniRef90_A0A174H9B0	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H9C9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174H9W6	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HA12	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HA33	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HA70	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HAW5	1	1	0	0	0	1	0	0	0
UniRef90_A0A174HAW7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HB81	0	1	0	0	0	0	0	0	1
UniRef90_A0A174HB94	0	1	0	0	0	0	0	0	0
UniRef90_A0A174HBL1	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HBP0	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HBT0	1	1	0	1	1	0	1	1	1
UniRef90_A0A174HBT5	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HBZ8	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HC27	1	0	1	1	1	1	1	0	0
UniRef90_A0A174HC31	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HC84	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HC85	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HCC8	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HCE3	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HCN1	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HCN2	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HCZ2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HCZ8	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HD26	1	0	0	0	0	0	1	0	0
UniRef90_A0A174HDC7	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HDC9	1	0	0	0	0	1	0	0	0
UniRef90_A0A174HDE3	1	1	0	0	0	0	1	0	0
UniRef90_A0A174HDE7	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HDF5	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HE56	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HE75	1	0	0	0	0	1	0	0	0
UniRef90_A0A174HEF3	1	0	0	0	0	1	0	0	0
UniRef90_A0A174HEF7	1	0	1	1	1	1	0	1	0
UniRef90_A0A174HEL9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HEQ0	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HF36	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HF48	0	0	0	0	0	0	1	0	0
UniRef90_A0A174HFJ6	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HFP4	1	1	1	1	1	1	0	0	0
UniRef90_A0A174HFQ4	0	0	0	1	1	1	1	0	1
UniRef90_A0A174HFS9	0	0	1	1	0	1	1	1	1
UniRef90_A0A174HFU8	1	0	0	0	0	0	0	0	0
UniRef90_A0A174HG02	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HG62	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HGK0	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HH52	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HHC5	1	1	0	0	0	1	1	0	1
UniRef90_A0A174HHE7	0	1	1	0	1	0	1	0	0
UniRef90_A0A174HHH3	1	1	0	1	1	1	1	0	1
UniRef90_A0A174HHL7	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HHT1	1	0	1	0	0	0	1	0	0
UniRef90_A0A174HI74	1	0	0	1	0	1	0	0	1
UniRef90_A0A174HIH5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HII7	0	1	1	1	0	1	1	0	1
UniRef90_A0A174HIR2	0	1	0	1	1	1	1	0	0
UniRef90_A0A174HIW9	0	0	0	0	1	0	0	1	0
UniRef90_A0A174HKF0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HKR6	0	0	0	0	0	1	0	1	1
UniRef90_A0A174HM59	1	1	1	1	1	1	1	1	1
UniRef90_A0A174HNI4	1	1	1	1	1	1	1	0	0
UniRef90_A0A174HNU6	0	0	1	0	0	0	0	0	0
UniRef90_A0A174HNX5	0	0	1	0	0	0	1	0	0
UniRef90_A0A174HPN2	1	1	1	1	1	0	1	1	1
UniRef90_A0A174HPX1	1	0	1	1	1	0	1	1	0
UniRef90_A0A174HQE8	1	0	0	0	1	0	0	0	0
UniRef90_A0A174HQV4	1	1	1	0	1	1	1	1	1
UniRef90_A0A174HR47	1	0	0	1	1	1	1	1	0
UniRef90_A0A174HRV0	0	0	0	1	1	1	1	0	1
UniRef90_A0A174HSI1	0	1	0	0	1	0	0	0	0
UniRef90_A0A174HTD1	1	0	1	1	0	0	1	0	0
UniRef90_A0A174HWK2	1	0	1	0	1	0	0	1	0
UniRef90_A0A174HXC8	1	1	1	1	0	1	0	1	0
UniRef90_A0A174HXK0	0	0	0	1	1	1	1	0	1
UniRef90_A0A174HZ92	0	0	0	0	1	0	0	0	0
UniRef90_A0A174HZK9	1	1	1	1	1	1	1	0	1
UniRef90_A0A174I028	0	0	0	1	1	0	1	0	1
UniRef90_A0A174I0A9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I142	0	0	0	0	1	0	0	0	0
UniRef90_A0A174I1M8	0	1	0	1	0	0	0	0	1
UniRef90_A0A174I2U9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174I3F5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I3R7	0	0	0	0	1	0	0	0	0
UniRef90_A0A174I3X6	0	1	0	1	0	0	0	1	1
UniRef90_A0A174I3X9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I4H9	1	0	1	0	0	0	1	0	1
UniRef90_A0A174I4J6	0	0	0	1	0	1	0	0	0
UniRef90_A0A174I4R0	0	1	0	1	0	0	0	0	1
UniRef90_A0A174I5N3	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I5R8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I699	0	1	0	1	0	0	1	0	0
UniRef90_A0A174I6T5	0	1	1	1	0	0	1	0	0
UniRef90_A0A174I7D3	0	1	0	0	0	0	0	1	0
UniRef90_A0A174I7J5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I7T3	1	1	1	1	1	1	1	1	1
UniRef90_A0A174I8E0	1	1	0	0	0	0	1	1	0
UniRef90_A0A174I8G9	1	0	0	0	0	0	1	0	0
UniRef90_A0A174I8U2	1	0	0	0	0	0	0	1	0
UniRef90_A0A174I9C4	0	0	1	0	0	1	1	0	1
UniRef90_A0A174I9X4	0	0	0	0	1	0	0	0	0
UniRef90_A0A174IA53	1	1	0	0	0	0	1	0	1
UniRef90_A0A174IBE8	0	0	0	1	1	1	1	0	1
UniRef90_A0A174IBT7	0	0	0	0	0	0	1	0	0
UniRef90_A0A174IBW3	0	0	0	0	0	0	1	0	0
UniRef90_A0A174IDB6	0	0	0	0	1	0	0	0	0
UniRef90_A0A174IE50	0	0	0	0	0	0	1	0	1
UniRef90_A0A174IEC8	0	0	0	1	1	0	0	1	1
UniRef90_A0A174IFE7	0	0	1	0	0	0	0	0	1
UniRef90_A0A174IFI9	1	1	1	0	0	1	0	1	0
UniRef90_A0A174IFZ6	0	0	1	0	0	0	0	0	1
UniRef90_A0A174IG69	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IH63	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IHE2	0	0	0	1	1	0	0	1	0
UniRef90_A0A174IHR6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IIT4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IJH1	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IKQ7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IM55	1	1	1	1	1	0	0	0	0
UniRef90_A0A174IMD7	0	0	0	0	0	0	0	1	0
UniRef90_A0A174IML2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IND9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IRJ5	1	1	1	1	1	1	1	0	0
UniRef90_A0A174IRY0	1	0	0	0	1	0	1	0	0
UniRef90_A0A174ISA9	1	1	1	0	1	1	1	0	1
UniRef90_A0A174IT60	1	0	0	1	0	0	0	0	0
UniRef90_A0A174ITL9	1	0	0	0	1	0	0	0	0
UniRef90_A0A174IUM5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174IWS1	1	0	0	0	1	0	1	0	0
UniRef90_A0A174IX32	0	1	1	0	1	1	1	0	0
UniRef90_A0A174IXA8	0	0	0	0	0	0	1	0	0
UniRef90_A0A174IXE3	0	1	0	0	0	0	0	0	0
UniRef90_A0A174IXG3	1	1	0	1	1	1	0	0	1
UniRef90_A0A174IXM2	0	1	1	0	0	0	0	0	0
UniRef90_A0A174IZP8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174J087	1	0	0	0	0	0	1	0	0
UniRef90_A0A174J159	1	1	1	1	0	1	0	1	0
UniRef90_A0A174J1A6	1	1	1	1	0	1	1	1	1
UniRef90_A0A174J1R9	0	0	1	0	0	0	0	0	0
UniRef90_A0A174J1T9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174J2U7	1	1	0	1	1	1	0	0	1
UniRef90_A0A174J4L4	1	0	1	1	1	0	1	1	1
UniRef90_A0A174J4L8	0	0	0	0	0	0	1	0	0
UniRef90_A0A174J737	1	1	1	1	1	1	1	1	1
UniRef90_A0A174J9N6	1	1	1	0	1	1	1	1	1
UniRef90_A0A174JBC4	1	1	1	1	1	0	1	0	1
UniRef90_A0A174JDZ0	1	0	1	1	1	1	0	1	0
UniRef90_A0A174JDZ7	1	0	1	1	0	1	0	1	0
UniRef90_A0A174JEP0	1	1	0	0	0	0	0	0	0
UniRef90_A0A174JF07	1	1	1	0	0	1	0	1	1
UniRef90_A0A174JGG4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174JJ03	0	0	1	1	0	0	0	0	1
UniRef90_A0A174JJR6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174JKK0	0	0	1	0	0	0	1	0	1
UniRef90_A0A174JLB0	1	0	1	1	1	0	0	1	0
UniRef90_A0A174JM11	1	0	1	0	0	0	1	0	0
UniRef90_A0A174JNX5	0	0	1	0	0	0	1	0	0
UniRef90_A0A174JNZ2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174JPJ0	0	0	0	0	0	1	0	1	0
UniRef90_A0A174JQY5	1	0	1	0	0	1	1	1	0
UniRef90_A0A174JR36	0	0	0	0	0	1	1	0	0
UniRef90_A0A174JT93	0	1	1	0	1	1	1	0	1
UniRef90_A0A174JU88	1	0	1	0	1	1	0	0	0
UniRef90_A0A174JV44	1	1	1	1	1	1	1	1	1
UniRef90_A0A174JVD0	1	0	0	1	1	0	1	0	0
UniRef90_A0A174K1W6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174K265	1	1	1	1	1	1	1	1	1
UniRef90_A0A174K383	1	1	1	0	1	0	0	0	1
UniRef90_A0A174K3N6	1	1	1	1	1	0	1	1	0
UniRef90_A0A174K4H4	0	0	0	0	0	0	1	0	0
UniRef90_A0A174K7M0	1	1	0	0	0	0	1	0	0
UniRef90_A0A174K844	0	0	1	0	0	0	0	0	0
UniRef90_A0A174K961	1	1	1	1	1	1	1	1	1
UniRef90_A0A174K966	1	0	0	1	0	0	0	0	0
UniRef90_A0A174K977	1	0	0	0	0	0	1	0	0
UniRef90_A0A174K9A3	1	1	1	1	1	1	1	1	1
UniRef90_A0A174K9V6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KA68	0	0	1	0	0	0	0	0	0
UniRef90_A0A174KA96	0	0	1	0	1	0	0	0	0
UniRef90_A0A174KAN2	1	0	1	1	1	1	1	1	0
UniRef90_A0A174KBM3	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KBP0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KCF9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KCU1	0	1	0	1	1	1	1	1	0
UniRef90_A0A174KEF3	0	0	1	0	1	0	0	0	0
UniRef90_A0A174KF20	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KFL2	1	1	1	1	1	1	1	1	0
UniRef90_A0A174KFP8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KFV8	1	0	0	0	0	0	0	0	0
UniRef90_A0A174KGR5	0	0	1	0	0	0	0	0	0
UniRef90_A0A174KH00	1	0	1	0	0	1	0	1	1
UniRef90_A0A174KH26	0	0	1	0	0	0	0	0	0
UniRef90_A0A174KHT5	0	0	1	1	1	0	0	1	1
UniRef90_A0A174KHW4	0	0	1	0	1	0	0	1	1
UniRef90_A0A174KI80	1	0	1	1	1	1	0	0	0
UniRef90_A0A174KJ41	1	0	1	1	1	1	0	1	0
UniRef90_A0A174KJB7	0	1	0	1	1	1	1	1	0
UniRef90_A0A174KJJ4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KK88	1	1	1	0	1	0	1	1	1
UniRef90_A0A174KKK4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KKP6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KMP5	1	0	0	1	0	0	0	1	1
UniRef90_A0A174KRB4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KT23	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KUI3	1	1	1	1	1	1	1	1	0
UniRef90_A0A174KUX0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KX62	1	0	1	1	1	0	1	0	0
UniRef90_A0A174KZG9	1	1	1	1	1	1	1	1	1
UniRef90_A0A174KZZ2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174L3D2	0	0	0	0	0	0	0	1	0
UniRef90_A0A174L3F9	0	0	0	0	0	0	0	1	0
UniRef90_A0A174L3Q5	0	0	0	0	0	0	0	1	0
UniRef90_A0A174L3T1	0	0	0	0	0	0	0	1	0
UniRef90_A0A174L424	0	0	1	0	0	0	0	0	0
UniRef90_A0A174L4R5	1	0	0	1	0	0	0	1	0
UniRef90_A0A174L5R5	0	0	0	0	1	0	1	0	0
UniRef90_A0A174L614	0	0	0	0	0	0	0	1	0
UniRef90_A0A174L8S5	0	0	1	0	0	0	0	1	0
UniRef90_A0A174L993	1	1	1	0	1	0	1	1	1
UniRef90_A0A174LAB2	1	0	1	1	1	0	1	0	1
UniRef90_A0A174LBT5	0	1	1	1	0	0	1	0	0
UniRef90_A0A174LCD5	0	1	0	1	0	0	0	0	0
UniRef90_A0A174LD18	0	1	1	0	0	1	0	0	0
UniRef90_A0A174LE50	0	0	1	0	0	1	1	0	0
UniRef90_A0A174LEN8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LFB1	1	1	1	1	0	1	1	0	1
UniRef90_A0A174LFC4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LFC5	0	0	1	1	0	0	0	0	0
UniRef90_A0A174LGZ2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LHB0	1	0	0	0	0	0	0	0	0
UniRef90_A0A174LI05	0	1	1	0	0	0	0	0	0
UniRef90_A0A174LIY4	1	1	1	1	1	0	1	1	0
UniRef90_A0A174LIY9	0	1	1	1	0	0	0	0	0
UniRef90_A0A174LJ11	0	1	1	0	0	0	1	0	0
UniRef90_A0A174LL66	1	1	1	1	1	1	1	1	0
UniRef90_A0A174LLE2	0	0	1	1	1	1	1	1	0
UniRef90_A0A174LLG5	1	1	0	0	0	0	0	0	0
UniRef90_A0A174LLL2	1	1	0	0	0	0	1	0	0
UniRef90_A0A174LLV9	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LMW5	0	1	1	0	0	0	1	0	0
UniRef90_A0A174LMY8	1	1	1	1	0	0	1	0	0
UniRef90_A0A174LNQ9	1	1	1	1	1	1	1	0	0
UniRef90_A0A174LPJ5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LQ36	0	1	1	0	0	0	0	0	0
UniRef90_A0A174LR32	1	1	1	1	1	1	1	0	0
UniRef90_A0A174LR59	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LR72	1	1	1	1	0	0	1	0	0
UniRef90_A0A174LT90	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LTW7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LU88	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LUR6	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LVA2	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LVJ8	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LWU0	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LWW8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174LXT5	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LXU4	1	1	1	1	1	1	1	0	0
UniRef90_A0A174LYJ1	0	1	1	1	1	1	1	1	1
UniRef90_A0A174LZ41	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZA0	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZB3	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZF6	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZI7	0	0	1	0	0	1	0	0	0
UniRef90_A0A174LZJ3	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZK9	0	1	1	1	1	0	1	1	0
UniRef90_A0A174LZZ2	0	0	1	0	0	0	0	0	0
UniRef90_A0A174LZZ5	0	0	1	1	1	0	0	0	0
UniRef90_A0A174M076	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M0N4	1	1	1	1	1	1	1	1	1
UniRef90_A0A174M0U7	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M1T2	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M1X5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174M248	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M2P4	0	0	1	0	0	1	0	0	0
UniRef90_A0A174M2T9	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M2Y3	0	0	1	0	0	0	0	0	0
UniRef90_A0A174M3E7	1	0	1	1	1	1	1	1	1
UniRef90_A0A174M3F1	0	0	0	0	1	0	0	0	0
UniRef90_A0A174M4W1	1	1	1	1	1	1	1	1	1
UniRef90_A0A174M667	0	0	1	0	0	1	1	1	0
UniRef90_A0A174M6P1	0	0	1	1	0	0	1	0	0
UniRef90_A0A174M8I9	1	1	1	0	0	1	1	1	0
UniRef90_A0A174M9F9	1	1	0	0	0	0	1	0	0
UniRef90_A0A174M9N4	1	0	1	1	0	1	1	1	0
UniRef90_A0A174MA12	0	1	0	1	0	0	0	0	0
UniRef90_A0A174MDE8	1	0	0	1	1	1	1	1	1
UniRef90_A0A174MEU9	1	0	0	0	0	0	0	0	0
UniRef90_A0A174MGD1	0	0	1	0	0	0	0	0	0
UniRef90_A0A174MJX8	1	1	1	1	1	1	1	1	1
UniRef90_A0A174MKT5	1	1	1	1	1	1	1	1	1
UniRef90_A0A174MN10	0	0	0	0	0	0	1	0	0
UniRef90_A0A174MNG8	0	0	0	0	1	0	0	1	0
UniRef90_A0A174MQY0	0	0	0	0	1	1	0	1	0
UniRef90_A0A174MRL1	0	0	0	1	0	0	1	1	0
UniRef90_A0A174MSA5	1	0	1	0	0	0	0	0	0
UniRef90_A0A174MSE7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174MSL2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174MT96	1	0	0	1	1	1	1	0	0
UniRef90_A0A174MTR7	1	1	1	1	1	1	1	1	1
UniRef90_A0A174MTX9	0	0	0	1	0	0	0	0	0
UniRef90_A0A174MV65	0	0	1	0	0	1	0	1	1
UniRef90_A0A174MVF2	1	0	1	1	1	1	0	0	0
UniRef90_A0A174MVL0	0	0	1	0	0	0	0	0	0
UniRef90_A0A174MVN8	0	1	1	1	0	0	0	0	0
UniRef90_A0A174MW21	0	0	0	0	1	0	0	1	0
UniRef90_A0A174MZD0	1	1	1	1	1	1	1	1	1
UniRef90_A0A174N0F8	0	0	1	0	0	0	1	0	1
UniRef90_A0A174N0N3	1	1	1	0	1	1	1	1	1
UniRef90_A0A174N272	1	0	1	1	1	1	0	1	0
UniRef90_A0A174N2D1	1	1	1	1	1	1	1	1	1
UniRef90_A0A174N3E6	1	1	1	1	1	1	1	1	1
UniRef90_A0A174N4A0	0	1	1	1	0	0	0	0	0
UniRef90_A0A174N551	0	0	1	1	0	0	0	0	0
UniRef90_A0A174N5E9	1	1	1	1	0	1	1	0	0
UniRef90_A0A174N5L8	0	1	1	1	0	0	1	0	0
UniRef90_A0A174N5P3	1	0	0	0	0	0	0	1	0
UniRef90_A0A174N5S2	0	0	1	1	0	0	0	0	0
UniRef90_A0A174N6Q8	1	0	1	0	0	0	1	1	1
UniRef90_A0A174N6R2	0	1	1	1	0	0	0	0	0
UniRef90_A0A174N7C7	1	0	0	0	0	0	0	0	1
UniRef90_A0A174N7Q4	0	0	1	0	0	0	0	0	0
UniRef90_A0A174N7W0	1	0	0	0	0	0	0	0	0
UniRef90_A0A174N7Z1	0	0	0	0	0	0	0	0	1
UniRef90_A0A174N9J4	0	0	1	0	0	0	0	0	0
UniRef90_A0A174N9R9	1	1	0	1	0	0	1	1	1
UniRef90_A0A174NBR5	0	0	0	1	0	0	0	0	0
UniRef90_A0A174NC63	0	1	0	1	1	1	1	0	1
UniRef90_A0A174NCG2	1	1	1	1	1	1	1	1	1
UniRef90_A0A174NEG4	1	0	0	0	1	0	1	0	1
UniRef90_A0A174NEM1	1	0	0	0	1	0	1	0	1
UniRef90_A0A174NH45	1	1	1	1	1	1	1	1	1
UniRef90_A0A174NNJ6	1	0	1	1	1	1	1	1	0
UniRef90_A0A174NP31	0	0	1	0	0	0	0	0	0
UniRef90_A0A174NQ77	0	0	1	1	0	0	0	0	0
UniRef90_A0A174NQM8	0	0	1	1	0	0	1	1	1
UniRef90_A0A174P4I1	1	0	0	0	0	0	0	0	0
UniRef90_A0A174P565	0	0	0	0	0	0	1	0	0
UniRef90_A0A174P5G5	0	0	0	0	0	0	1	0	0
UniRef90_A0A174P791	1	1	0	1	0	1	1	0	0
UniRef90_A0A174P8J6	0	0	0	0	0	0	1	0	0
